Full reference,Ocean Region,Taxa,Species,Range edge,Latitude,Longitude,Start Year,Timespan,Shift,Rate,Consistency,
"Dawson, M. N. et al. (2010). Population genetic analysis of a recent range expansion: mechanisms regulating the poleward range limit in the volcano barnacle Tetraclita rubescens. Molecular Ecology 19:1585-1605",North Atlantic HLSBS east,Benthic crustacea,Tetraclita rubescens,Leading,39.27,-123.79,1970,27,expansion,119,Consistent,
"Engelhard, G.H. et al. (2011). Nine decades of North Sea sole and plaice distribution. ICES Journal of Marine Science 68(6): 1090-1104.",North Atlantic HLSBS east,Bony fish,Solea solea,Leading,53,3,1923,85,expansion,10.3,Consistent,
"Engelhard, G.H. et al. (2011). Nine decades of North Sea sole and plaice distribution. ICES Journal of Marine Science 68(6): 1090-1104.",North Atlantic HLSBS east,Bony fish,Pleuronectes platessa,Leading,55.5,3,1913,95,expansion,24.9,Consistent,
Hallegraeff G. et al. (2008). Recent range expansion of the red-tide dinoflagellate Noctiluca scintillans in Australian coastal waters. IOC-UNESCO Algae Newsletter 38:10-11.,South Pacific HLSBS west,Phytoplankton,Noctiluca scintillans,Leading,-34,151.5,1950,56,expansion,406,Consistent,
"Hays, G.C. et al. (2005). Climate change and marine plankton. Trends in Ecology and Evolution 20: 337-344",North Atlantic HLSBS east,Phytoplankton,Ceratium trichoceros,Leading,54,-12,1958,47,expansion,310,Consistent,
"Herbert, R. J. H. et al. (2003). Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",North Atlantic HLSBS east,Benthic crustacea,Balanus perforatus,Leading,50.7,-0.8,1964,38,expansion,32.4,Consistent,
"Herbert, R. J. H. et al. (2003). Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",North Atlantic HLSBS east,Benthic crustacea,Balanus perforatus,Leading,49.9,0.7,1964,38,expansion,50,Consistent,
"Herbert, R. J. H. et al. (2003). Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",North Atlantic HLSBS east,Benthic crustacea,Chthamalus montagui,Leading,50.7,-0.8,1955,50,expansion,4.44,Consistent,
"Herbert, R. J. H. et al. (2003). Range extension and reproduction of the barnacle Balanus perforatus in the eastern English Channel. Journal of the Marine Biological Association of the United Kingdom 83:73-82.",North Atlantic HLSBS east,Benthic crustacea,Chthamalus montagui,Leading,49.9,0.7,1955,47,expansion,21.74,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Scomber japonicus,Centre,33,-121,1951,52,expansion,3.24,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Hippoglossina stomata,Centre,33,-121,1951,52,expansion,2.31,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Lyopsetta exilis,Centre,33,-121,1951,52,expansion,3.23,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Sebastes jordani,Centre,33,-121,1951,52,expansion,3.24,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Leuroglossus stilbius,Centre,33,-121,1951,52,expansion,2.31,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Ophidion scrippsae,Centre,33,-121,1951,52,expansion,3.24,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Pleuronichthys verticalis,Centre,33,-121,1951,52,expansion,5.09,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Engraulis mordax,Centre,33,-121,1951,52,expansion,3.7,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Microstomus pacificus,Centre,33,-121,1951,52,expansion,6.01,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Sebastes aurora,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Trachurus symmetricus,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Argentina sialis,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Cololabis saira,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Icichthys lockingtoni,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Trachipterus altivelis,Centre,33,-121,1951,52,expansion,7.86,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Paralabrax clathratus,Centre,33,-121,1951,52,expansion,8.79,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Paralichthys californicus,Centre,33,-121,1951,52,expansion,7.4,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Sardinops sagax,Centre,33,-121,1951,52,expansion,10.18,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Chromis punctipinnus,Centre,33,-121,1951,52,expansion,9.25,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Parophrys vetulus,Centre,33,-121,1951,52,expansion,10.64,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Sphyraena argentea,Centre,33,-121,1951,52,expansion,13.41,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Merluccius productus,Centre,33,-121,1951,52,expansion,17.58,Consistent,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Hypsoblennius jenkins,Centre,33,-121,1951,52,no change,0,No change,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Tetragonurus cuvieri,Centre,33,-121,1951,52,no change,0,No change,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Symphurus atricaudus,Centre,33,-121,1951,52,contraction,-17.11,Equivocal,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Sebastes paucispinis,Centre,33,-121,1951,52,contraction,-3.24,Equivocal,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Zaniolepis frenata,Centre,33,-121,1951,52,contraction,-2.31,Equivocal,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Oxylebius pictus,Centre,33,-121,1951,52,contraction,-3.24,Equivocal,
"Hsieh, C. et al. (2008). Spatial analysis shows that fishing enhances the climatic sensitivity of marine fishes. Canadian Journal of Fisheries and Aquatic Sciences 65: 947-961",California Current EBUE,Zooplankton - mero,Scorpaenichthys marmoratus,Centre,33,-121,1951,52,contraction,-1.39,Equivocal,
"Lima, F. P. et al. (2006). Recent changes in the distribution of a marine gastropod, Patella rustica Linnaeus, 1758, and their relationship to unusual climatic events. Journal of Biogeography 33:812-822",North Atlantic HLSBS east,Benthic molluscs,Patella rustica,Leading,41.16,-8.68,1955,51,expansion,250,Consistent,
"Lima, F. P. et al. (2006). Recent changes in the distribution of a marine gastropod, Patella rustica Linnaeus, 1758, and their relationship to unusual climatic events. Journal of Biogeography 33:812-822",North Atlantic HLSBS east,Benthic molluscs,Patella rustica,Leading,39.51,-9.14,1955,51,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Chondrus crispus ,Leading,37.95,-8.88,1960,47,contraction,-38.3,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Desmarestia ligulata ,Leading,38.47,-8.97,1960,47,contraction,-14.89,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Dumontia contorta ,Leading,41.14,-8.68,1960,47,contraction,-13.19,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Himanthalia elongata ,Leading,39.51,-9.14,1960,47,contraction,-46.6,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Palmaria palmata ,Leading,38.66,-9.29,1960,47,contraction,-76.17,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Pelvetia canaliculata ,Trailing,39.41,-9.57,1960,47,contraction,-52.13,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Asparagopsis armat,Trailing,41.8,-8.87,1960,47,expansion,61.06,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Codium adhaerens ,Trailing,39.51,-9.14,1960,47,expansion,12.55,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Halopithys incurva ,Trailing,41.37,-8.78,1960,47,expansion,101.06,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Hypnea musciformis ,Trailing,38.47,-8.98,1960,47,expansion,57.23,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Leathesia difformis ,Trailing,41.8,-8.87,1960,47,expansion,68.09,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Padina pavonica ,Trailing,39.37,-9.34,1960,47,expansion,39.79,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Sargassum flavifolium,Leading,37.95,-8.88,1960,47,expansion,126.17,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Valonia utricularis ,Leading,39.51,-9.14,1960,47,expansion,41.91,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Ascophyllum nodosum ,Trailing,37.11,-8.58,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Calliblepharis ciliata ,Trailing,38.47,-8.97,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Cystoseira baccata ,Trailing,37.09,-8.66,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Fucus spiralis ,Trailing,36.99,-8.87,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Laminaria hyperborea ,Trailing,39.37,-9.34,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Phyllophora crispa ,Trailing,39.37,-9.41,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Gelidium corneum ,Trailing,37.65,8.8,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Cystoseira tamariscifolia ,Trailing,41.8,-8.87,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Scytosiphon lomentaria ,Trailing,39.37,-9.41,1960,47,no change,0,No change,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Ahnfeltia plicata ,Trailing,37.01,-8.93,1960,47,expansion,70.21,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Bifurcaria bifurcata ,Trailing,37.34,-8.85,1960,47,expansion,54.68,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Desmarestia aculeata ,Leading,39.37,-9.34,1960,47,expansion,48.3,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Fucus vesiculosus ,Leading,38.66,-9.37,1960,47,expansion,33.4,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Halidrys siliquosa ,Leading,42.42,-8.71,1960,47,expansion,19.15,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Mastocarpus stellatus ,Trailing,37.34,-8.85,1960,47,expansion,25.74,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Fucus serratus ,Trailing,37.11,-8.58,1960,47,contraction,-1.91,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Laminaria saccharina ,Trailing,37.11,8.58,1960,47,expansion,1.91,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Petalonia fascia ,Trailing,37.93,-8.87,1960,47,expansion,5.96,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Delesseria sanguinea ,Trailing,41.75,-8.88,1960,47,expansion,1.91,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Dilsea carnosa ,Trailing,41.14,-8.68,1960,47,expansion,3.83,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Halopteris filicina ,Leading,41.8,-8.87,1960,47,contraction,-1.06,Equivocal,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Amphiroa sp. ,Leading,37.93,-8.87,1960,47,expansion,5.96,Consistent,
"Lima, F. P. et al. (2007). Do distributional shifts of northern and southern species of algae match the warming pattern? Global Change Biology 13: 2592-2605.",North Atlantic HLSBS east,Benthic algae,Caulacanthus ustulatus,Leading,37.11,-8.58,1960,47,expansion,4.26,Consistent,
Lindley JA and Daykin S. (2005). Variations in the distributions of Centropages chierchiae and Temora stylifera (Copepoda: Calanoida) in the north-eastern Atlantic Ocean and western European shelf waters. ICES Journal of Marine Science 62: 869-877.,North Atlantic HLSBS east,Zooplankton - holo,Temora stylifera,Leading,47,-10,1978,23,expansion,157,Consistent,
Lindley JA and Daykin S. (2005). Variations in the distributions of Centropages chierchiae and Temora stylifera (Copepoda: Calanoida) in the north-eastern Atlantic Ocean and western European shelf waters. ICES Journal of Marine Science 62: 869-877.,North Atlantic HLSBS east,Zooplankton - holo,Centropages chierchiae,Leading,47,-10,1978,23,expansion,157,Consistent,
"Ling, S. D. et al. (2009). Climate-driven range extension of a sea urchin: inferring future trends by analysis of recent population dynamics. Global Change Biology 15:719-731.",South Pacific HLSBS west,Benthic invert. (other),Centrostephanus rodgersii,Leading,-43.37,145.93,1960,46,expansion,160,Consistent,
"Mieszkowska, N. et al. (2006). Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",North Atlantic HLSBS east,Benthic algae,Bifurcaria bifurcata ,Leading,50.51,-2.45,1936,68,expansion,77.78,Consistent,
"Mieszkowska, N. et al. (2006). Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",North Atlantic HLSBS east,Benthic molluscs,Osilinus lineatus ,Leading,50.63,-2.37,1952,52,expansion,27.78,Consistent,
"Mieszkowska, N. et al. (2006). Changes in the range of some common rocky shore species in Britain - a response to climate change? Hydrobiologia 555:241-251.",North Atlantic HLSBS east,Benthic molluscs,Gibbula umbilicalis ,Leading,58.44,-4.3,1952,52,expansion,28.95,Consistent,
"Mieszkowska, N. et al. (2007). Long-term changes in the geographic distribution and population structures of Osilinus lineatus (Gastropoda : Trochidae) in Britain and Ireland. Journal of the Marine Biological Association of the UK 87:537-545.",North Atlantic HLSBS east,Benthic molluscs,Osilinus lineatus ,Leading,53.42,-4.29,1963,42,expansion,18,Consistent,
"Mieszkowska, N. et al. (2007). Long-term changes in the geographic distribution and population structures of Osilinus lineatus (Gastropoda : Trochidae) in Britain and Ireland. Journal of the Marine Biological Association of the UK 87:537-545.",North Atlantic HLSBS east,Benthic molluscs,Osilinus lineatus ,Leading,54.26,-5.6,1971,33,expansion,3,Consistent,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Lycodes palearis ,Centre,58,-167,1982,25,contraction,-28,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Podothecus acipenserinus ,Centre,58,-167,1982,25,contraction,-28,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Bony fish,Mallotus villosus,Centre,58,-167,1982,25,contraction,-15.2,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Chionoecetes hybrid ,Centre,58,-167,1982,25,contraction,-15.2,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Paralithodes platypus ,Leading,58,-167,1982,25,contraction,-6,Equivocal,
"Mueter, F.J. and M.A. Litzow (2008). Sea ice retreat alters the biogeography of the bering sea continental shelf. Ecological Applications 18: 309-302",North Pacific HLSBS east,Benthic crustacea,Paralithodes camtschaticus ,Leading,58,-167,1982,25,contraction,-4.4,Equivocal,
